colecao;Identificacao;grupo;serie;subserie;tipologia;descricao;titutlo;titulo atribuido;data;data-periodo;;autoria;idioma;quantitade;local de producao;veiculo de publicacao;local de publicacao;tipo de publicacao;genero;forma;formato;escritura;suporte;dimensao;estado de conservacao;observacoes;documentos realcionados;numero da caixa;nome da caixa;numero da pasta;nome da pasta;numero serie;;;;;;;;;;;;
1;BRFM_AM_10_004;1;17;;6;"Sobre a série ""Cenas da Vida Brasileira"", do artista plástico João Cãmara.";Posfácio 2003: flashbacks;;;;;Frederico Morais;Português;6 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 40.04;;2;2;;;4;;;;;;;;;;;;
1;BRFM_AM_10_005;1;17;;6;"Sobre o livro ""João Câmara - Trilogia: Dez Casos de Amor"". Em anexo capa do livro.";Dez Casos de Amor e Uma Pintura de Câmara: Teoria e Corpo do Pintor Secreto;;;-/05/1983;;Frederico Morais;Português;24 páginas;Rio de Janeiro, RJ;;;;Textual;"Original; cópia";1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 41.01;;2;2;;;5;;;;;;;;;;;;
1;BRFM_AM_10_006;1;17;;6;"Sobre o livro ""João Câmara - Trilogia: Dez Casos de Amor"". Em anexo capa do livro.";Dez Casos de Amor e Uma Pintura de Câmara: Teoria e Corpo do Pintor Secreto;;;-/05/1983;;Frederico Morais;Português;25 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Manchado, Oxidado ;Doc. 41.02;;2;2;;;6;;;;;;;;;;;;
1;BRFM_AM_10_007;1;17;;14;"Informações financeiras referentes ao livro ""Duas Cidades"", terceiro volume da série ""João Câmara - Trilogia"". Em anexo dois recibos.";;;2003-11-26;;;Thais G.G. Mezzarano;Português;4 páginas;São Paulo, SP;;;;Textual;Original;1;Impresso;#N/D;"21,00 x 33,00 cm; 21,00 x 29,5,00 cm";Bom;Doc. 42;;2;2;;;7;;;;;;;;;;;;
1;BRFM_AM_11_001;1;18;;13;Livro Wanda Pimentel. Em anexo folha de identificação de documentos.;Wanda Pimentel;;1905-07-04;;;;Português;2 páginas;;;;;Textual, Iconográfico;"Original; cópia";1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 43.01;;2;2;;;1;;;;;;;;;;;;
1;BRFM_AM_11_002;1;18;;65;Lista de temas relacionada à artista plástica Wanda Pimentel.;;;;;;Frederico Morais;Português;1 página;;;;;Textual;Original;1;Manuscrito;3;15,00 x 21,00 cm;Bom;Doc. 43.02;;2;2;;;2;;;;;;;;;;;;
1;BRFM_AM_11_003;1;18;;96;Lançamento de livro sobre a artista plática Wanda Pimentel contendo texto e entrevista do historiador e crítico de arte Frederico Morais.;Memória Feita de Silêncios;;;;;Mauro Ventura;Português;1 página;Rio de Janeiro, RJ;9;;;Textual;Original;1;Impresso;1;24,5,00 x 37,00 cm;Dobrado;Doc. 43.03;;2;2;;;3;;;;;;;;;;;;
1;BRFM_AM_11_004;1;18;;37;Textos sobre a artista plástica Wanda Pimentel.;;;;;;;Português;15 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 43.04;;2;2;;;4;;;;;;;;;;;;
1;BRFM_AM_11_005;1;18;;14;"Informações financeiras referentes ao livro ""Wanda Pimentel"".";;;2012-01-18;;;Thatiana Fernandes;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 43.05;;2;2;;;5;;;;;;;;;;;;
1;BRFM_AM_11_006;1;18;;6;Artista plástica Wanda Pimentel.;O canto de Wanda Pimentel;;2012-03-26;;;Vera Beatriz Siqueira;Português;9 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 43.06;;2;2;;;6;;;;;;;;;;;;
1;BRFM_AM_11_007;1;18;;49;Entrevista com a artista plástica Wanda Pimentel.;;;2012-05-03;;;Frederico Morais;Português;4 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 43.07;;2;2;;;7;;;;;;;;;;;;
1;BRFM_AM_11_008;1;18;;45;Depoimento da artista plástica Wanda Pimentel concedida à equipe da Galeria de Arte BANERJ.;Nunca trabalhei com alegria;;1986-05-05;;;;Português;2 páginas;;;;;Textual;Cópia;1;Impresso;3;29,5,00 x 21,00 cm;Oxidado;Doc. 43.08;;2;2;;;8;;;;;;;;;;;;
